hsk1_Word	hsk2_Word	hsk3_Word	hsk4_Word	hsk5_Word	hsk6_Word
				收获	计较
				收据	记性
				手工	记载
				手术	纪要
				手套	技巧
				手续	忌讳
				手指	季度
				首	季军
				寿命	迹象
				受伤	继承
				书架	寄托
				梳子	寂静
				舒适	加工
				输入	加剧
				蔬菜	夹杂
				熟练	佳肴
				属于	家常
				鼠标	家伙
				数	家属
				数据	家喻户晓
				数码	尖端
				摔倒	尖锐
				甩	坚定
				双方	坚固
				税	坚韧
				说不定	坚实
				说服	坚硬
				丝绸	艰难
				丝毫	监督
				私人	监视
				思考	监狱
				思想	煎
				撕	拣
				似乎	检讨
				搜索	检验
				宿舍	剪彩
				随身	简化
				随时	简陋
				随手	简体字
				碎	简要
				损失	见多识广
				缩短	见解
				所	见闻
				锁	见义勇为
				台阶	间谍
				太极拳	间隔
				太太	间接
				谈判	剑
				坦率	健全
				烫	舰艇
				逃	践踏
				逃避	溅
				桃	鉴别
				淘气	鉴定
				讨价还价	鉴于
				套	将近
				特色	将就
				特殊	将军
				特征	僵硬
				疼爱	奖励
				提倡	奖赏
				提纲	桨
				提问	降临
				题目	交叉
				体会	交代
				体贴	交涉
				体现	交易
				体验	娇气
				天空	焦点
				天真	焦急
				调皮	角落
				调整	侥幸
				挑战	搅拌
				通常	缴纳
				统一	较量
				痛苦	教养
				痛快	阶层
				偷	皆
				投入	接连
				投资	揭露
				透明	节制
				突出	节奏
				土地	杰出
				土豆	结晶
				吐	结局
				兔子	结算
				团	截止
				推辞	截至
				推广	竭尽全力
				推荐	解除
				退	解放
				退步	解雇
				退休	解剖
				歪	解散
				外公	解体
				外交	戒备
				完美	界限
				完善	借鉴
				完整	借助
				玩具	金融
				万一	津津有味
				王子	紧迫
				网络	锦上添花
				往返	进而
				危害	进攻
				威胁	进化
				微笑	进展
				违反	近来
				围巾	晋升
				围绕	浸泡
				唯一	茎
				维修	经费
				伟大	经纬
				尾巴	惊动
				委屈	惊奇
				未必	惊讶
				未来	兢兢业业
				位于	精打细算
				位置	精华
				胃	精简
				胃口	精密
				温暖	精确
				温柔	精通
				文件	精心
				文具	精益求精
				文明	精致
				文学	井
				文字	颈椎
				闻	警告
				吻	警惕
				稳定	竞赛
				问候	竞选
				卧室	敬礼
				握手	敬业
				屋子	境界
				无奈	镜头
				无数	纠纷
				无所谓	纠正
				武术	酒精
				勿	救济
				物理	就近
				物质	就业
				雾	就职
				吸取	拘留
				吸收	拘束
				戏剧	居民
				系	居住
				系统	鞠躬
				细节	局部
				瞎	局面
				下载	局势
				吓	局限
				夏令营	咀嚼
				鲜艳	沮丧
				显得	举动
				显然	举世瞩目
				显示	举足轻重
				县	剧本
				现代	剧烈
				现实	据悉
				现象	聚精会神
				限制	卷
				相处	决策
				相当	觉悟
				相对	觉醒
				相关	绝望
				相似	倔强
				香肠	军队
				享受	君子
				想念	卡通
				想象	开采
				项	开除
				项链	开阔
				项目	开朗
				象棋	开明
				象征	开辟
				消费	开拓
				消化	开展
				消极	开支
				消失	刊登
				销售	刊物
				小麦	勘探
				小气	侃侃而谈
				孝顺	砍伐
				效率	看待
				歇	慷慨
				斜	扛
				血	抗议
				写作	考察
				心理	考古
				心脏	考核
				欣赏	考验
				信号	靠拢
				信任	科目
				行动	磕
				行人	可观
				行为	可口
				形成	可恶
				形容	可行
				形式	渴望
				形势	克制
				形象	刻不容缓
				形状	客户
				幸亏	课题
				幸运	恳切
				性质	啃
				兄弟	坑
				胸	空洞
				休闲	空前绝后
				修改	空想
				虚心	空虚
				叙述	孔
				宣布	恐怖
				宣传	恐吓
				学历	恐惧
				学术	空白
				学问	空隙
				寻找	口气
				询问	口腔
				训练	口头
				迅速	口音
				押金	扣
				牙齿	枯萎
				延长	枯燥
				严肃	哭泣
				演讲	苦尽甘来
				宴会	苦涩
				阳台	挎
				痒	跨
				样式	快活
				腰	宽敞
				摇	宽容
				咬	款待
				要不	款式
