	Word	Class0	Class1	Class2	MultiMean
656	长安县	1	1	1	571
657	冰台	1	1	1	42
658	闭馆	2	2	2	8
659	值日	1	1	1	5
660	活罪	1	1	1	1
661	信赖感	1	1	1	59
662	韧皮纤维	1	1	1	8
663	避重就轻	1	1	1	1
664	墙角	1	1	1	3
665	救生伞	1	1	1	3
666	传家宝	2	2	2	7
667	库锦	1	1	1	35
668	冬令	2	2	2	6
669	工场	1	1	1	5
670	梁园镇	1	1	1	172
671	折腰	1	2	2	8
672	顺杆儿爬	1	1	1	4
673	征程	1	1	1	4
674	头目	1	1	1	18
675	拐弯	2	2	2	9
676	手术费	1	1	1	3
677	闲雅	1	1	1	17
678	修修改改	1	1	1	10
679	燕语莺声	1	1	1	40
680	盘库	1	1	1	3
681	齐心合力	1	1	1	12
682	生肉	1	1	1	1
683	问及	1	1	1	4
684	吊带	1	1	1	2
685	阴干	1	1	1	4
686	尊称	1	1	1	1
687	法律学	1	1	1	176
688	神经质	1	1	1	0
689	萧疏	1	1	1	7
690	土特产	1	1	1	3
691	肉食	2	2	2	5
692	车辆	1	1	1	4
693	指日可待	1	1	1	22
694	电视电话会议	1	1	1	16
695	鹤山	1	1	1	206
696	原件	1	1	1	1
697	欢腾	1	1	1	3
698	靶档	1	1	1	2
699	生产队	1	1	1	82
700	海誓山盟	1	1	1	12
701	化学镀	1	1	1	5
702	鸭行鹅步	1	1	1	6
703	丰富化	1	1	1	142
704	上呼吸道	1	1	1	3
705	亡故	1	1	1	56
706	冰鞋	1	1	1	12
707	特警	1	1	1	23
708	簿籍	1	1	1	8
709	该站	1	1	1	6
710	乏	3	3	3	83
711	北戴河	1	1	1	21
712	探子	1	1	1	19
713	蛋白胨	1	1	1	3
714	文静	1	1	1	24
715	自尊心	1	1	1	6
716	义项	1	1	1	5
717	热诚	1	1	1	43
718	攀扯	1	1	1	13
719	擐	1	1	1	12
720	判别式	1	1	1	41
721	断臂	2	2	2	1
722	常用对数	1	1	1	1
723	熟人	1	1	1	0
724	野猫	1	1	1	3
725	自小	1	1	1	4
726	现眼	1	1	1	20
727	绝对	1	1	1	12
728	绑匪	1	1	1	11
729	掘土机	1	1	1	4
730	萄	1	1	1	3
731	流弊	1	1	1	6
732	排行	1	1	1	4
733	申曲	1	1	1	1
734	橡实	1	1	1	0
735	主枢纽	1	1	1	2
736	苦活	1	1	1	7
737	竖线	1	1	1	60
738	南京人	1	1	1	5
739	通讯	1	1	1	3
740	五业	1	1	1	149
741	开天窗	1	1	1	7
742	待产	2	2	2	1
743	张冠李戴	2	2	2	34
744	吉水县	1	1	1	571
745	血液	1	1	1	3
746	断然	2	2	2	27
747	脚底	1	1	1	8
748	机关	2	4	4	34
749	内江市	1	1	1	499
750	夜尿症	1	1	1	216
751	搭话	1	1	1	5
752	暂停	1	1	1	12
753	烧坏	1	1	1	0
754	草房子	1	1	1	1
755	聚赌	1	1	1	0
756	诗友	1	1	1	0
757	化解	1	1	1	8
758	柯	1	1	1	7
759	表嫂	1	1	1	0
760	飚	1	1	1	4
761	大理石	1	1	1	36
762	誉满全球	1	1	1	5
763	采莲船	1	1	1	2
764	跑程	1	1	1	4
765	众议院	1	1	1	22
766	点缀	2	2	2	8
767	音乐人	1	1	1	0
768	下行	1	2	2	2
769	育	1	2	2	23
770	关停令	1	1	1	7
771	近水楼台	1	1	1	13
772	船歌	1	1	1	1
773	纪实片	1	1	1	35
774	当家的	1	2	2	12
775	社会风气	1	1	1	3
776	导	2	3	3	24
777	金银箔	1	1	1	1
778	短笛	1	1	1	20
779	水荒	1	1	1	1
780	习焉不察	1	1	1	0
781	中心角	1	1	1	1
782	闯关夺隘	1	1	1	4
783	打炮	1	1	1	5
784	废置	1	1	1	10
785	反诘	1	1	1	1
786	形成	1	2	2	38
787	重兵	1	1	1	6
788	字样	1	1	1	2
789	骨病	1	1	1	5
790	还贷率	1	1	1	187
791	热核反应	1	1	1	9
792	戈壁	1	1	1	4
793	通盘	1	1	1	32
794	雷管	1	1	1	0
795	自动化	1	1	1	142
796	古玩	1	1	1	3
797	东海县	1	1	1	571
798	制毒	1	1	1	8
799	科研型	1	1	1	1
800	马龙县	1	1	1	571
801	椴树	1	1	1	1
802	自由化	1	1	1	17
803	高头大马	1	1	1	8
804	概	1	1	1	6
805	民不聊生	1	1	1	21
806	资格赛	1	1	1	54
807	生老病死	1	1	1	5
808	测出	1	1	1	9
809	浮云	1	1	1	4
810	威严	2	3	3	40
811	抽斗	1	1	1	3
812	布达佩斯	2	2	2	332
813	白干儿	1	1	1	2
814	红山	1	1	1	206
815	作践	1	1	1	9
816	官风	1	1	1	18
817	沙河市	1	1	1	499
818	恶化	1	1	1	3
819	饱览	1	1	1	0
820	羽绒衫	1	1	1	20
821	普通股	1	1	1	10
822	看出	1	1	1	34
823	深冬	1	1	1	6
824	其他	1	1	1	10
825	一马当先	1	1	1	8
826	词儿	1	1	1	3
827	忧困	2	2	2	48
828	老老实实	1	1	1	21
829	杨家乡	1	1	1	130
830	悉	3	3	3	69
831	颇为	1	1	1	4
832	敲门砖	1	1	1	1
833	管中窥豹	1	1	1	16
834	保健室	1	1	1	10
835	发展部	1	1	1	53
836	武进市	1	1	1	499
837	曲折	2	2	2	14
838	检验所	1	1	1	6
839	包裹单	1	1	1	38
840	点题	1	1	1	0
841	谷苗	1	1	1	18
842	人口报	1	1	1	55
843	情夫	1	1	1	2
844	升旗	1	1	1	0
845	漏斗	1	1	1	2
846	饰演	1	1	1	9
847	谋职	1	1	1	5
848	脸蛋	1	1	1	9
849	大赛	1	1	1	0
850	直系亲属	1	1	1	1
851	白事	1	1	1	3
852	呈报	1	1	1	10
853	取出	1	1	1	2
854	舒眉展眼	1	1	1	0
855	商品猪	1	1	1	0
856	电吹风	1	1	1	9
857	石炭纪	1	1	1	11
858	细胞学	1	1	1	176
859	家破人亡	1	1	1	21
860	行情	1	2	2	36
861	何尝不可	1	1	1	10
862	前半夜	1	1	1	1
863	辞行	1	1	1	5
864	威信扫地	1	1	1	36
865	语义哲学	1	1	1	176
866	刖	1	1	1	0
867	蝎子草	1	1	1	64
868	锦盒	1	1	1	3
869	音义	1	2	2	13
870	腰斩	1	1	1	3
871	指示灯	1	1	1	2
872	次级	1	1	1	8
873	燥热	1	1	1	22
874	文竹	1	1	1	67
875	美文	1	1	1	12
876	酒宴	1	1	1	7
877	泰州	1	1	1	116
878	完工	1	1	1	1
879	科普	1	1	1	15
880	煽风点火	1	1	1	16
881	饭桶	2	2	2	14
882	跑腿儿	1	1	1	4
883	五谷不分	1	1	1	20
884	打盹	1	1	1	1
885	进出	2	2	2	2
886	着凉	1	1	1	5
887	效尤	1	1	1	31
888	套套	1	1	1	3
889	骨质	1	1	1	15
890	崂山区	1	1	1	142
891	令郎	1	1	1	4
892	自由主义	1	1	1	26
893	合议庭	1	1	1	7
894	己见	1	1	1	1
895	净宽	1	1	1	21
896	绘图板	1	1	1	3
897	香案	1	1	1	17
898	族权	1	1	1	43
899	痴子	1	2	2	12
900	上台	1	2	2	15
901	电荷	1	1	1	4
902	侵略	1	1	1	12
903	碘片	1	1	1	5
904	当年	1	1	2	15
905	辞典	1	1	1	17
906	罗汉果	1	1	1	8
907	更生霉素	1	1	1	30
908	千分尺	1	1	1	17
909	汤剂	1	1	1	5
910	他乡	1	1	1	5
911	惊惶失措	1	1	1	15
912	铮铮	1	1	1	2
913	相形失色	1	1	1	4
914	横行	1	1	1	3
915	须知	1	1	1	1
916	粮荒	1	1	1	4
917	求业	1	1	1	5
918	激酶	1	1	1	10
919	先祖	1	2	2	7
920	中成药	1	1	1	33
921	反中子	1	1	1	19
922	标杆	1	1	1	4
