Word	index	level	score
纠正	a#补救	2.0	1
痛改前非	a#补救	3.0	1
治病救人	a#补救	3.0	1
改邪归正	a#补救	3.0	1
回头是岸	a#补救	3.0	1
弃旧图新	a#补救	4.0	1
拨乱反正	a#补救	4.0	1
洗心革面	a#补救	4.0	1
悬崖勒马	a#补救	4.0	1
弃暗投明	a#补救	4.0	1
脱胎换骨	a#补救	4.0	1
澄清	b#澄清	4.0	1
正本清源	b#澄清	4.0	1
胡闹	a#惹事	2.0	1
作怪	a#惹事	2.0	1
无理取闹	a#惹事	2.0	1
呼风唤雨	a#惹事	3.0	1
无事生非	a#惹事	3.0	1
无所不为	a#惹事	3.0	1
兴风作浪	a#惹事	3.0	1
造孽	a#惹事	4.0	1
为非作歹	a#惹事	4.0	1
蠢蠢欲动	a#惹事	4.0	1
挑衅	a#惹事	4.0	1
肇事	a#惹事	4.0	1
逞能	b#逞能	4.0	1
自作聪明	b#逞能	2.0	1
意气用事	b#逞能	4.0	1
表现	c#炫耀	2.0	1
出风头	c#炫耀	2.0	1
夸耀	c#炫耀	3.0	1
卖弄	c#炫耀	3.0	1
炫耀	c#炫耀	3.0	1
班门弄斧	c#炫耀	3.0	1
张扬	c#炫耀	4.0	1
招摇过市	c#炫耀	4.0	1
倚老卖老	c#炫耀	4.0	1
虚张声势	c#炫耀	4.0	1
造	d#假冒	2.0	1
编造	d#假冒	3.0	1
无中生有	d#假冒	3.0	1
捏造	d#假冒	4.0	1
空穴来风	d#假冒	4.0	1
冒	d#假冒	3.0	1
假冒	d#假冒	3.0	1
冒充	d#假冒	3.0	1
充数	d#假冒	3.0	1
伪造	d#假冒	3.0	1
造假	d#假冒	3.0	1
冒名顶替	d#假冒	3.0	1
偷工减料	d#假冒	3.0	1
鱼目混珠	d#假冒	3.0	1
粗制滥造	d#假冒	4.0	1
滥竽充数	d#假冒	4.0	1
借口	d#假冒	2.0	1
歪曲	d#假冒	2.0	1
扭曲	d#假冒	3.0	1
添油加醋	d#假冒	3.0	1
污辱	e#玷污	3.0	1
玷污	e#玷污	4.0	1
模糊	f#混淆	2.0	1
混淆	f#混淆	3.0	1
张冠李戴	f#混淆	3.0	1
混为一谈	f#混淆	4.0	1
指鹿为马	f#混淆	4.0	1
反客为主	f#混淆	3.0	1
喧宾夺主	f#混淆	3.0	1
颠倒黑白	f#混淆	3.0	1
颠倒是非	f#混淆	3.0	1
轻重倒置	f#混淆	4.0	1
失误	g#犯错	3.0	1
阴差阳错	g#犯错	3.0	1
将错就错	g#犯错	4.0	1
误	g#犯错	2.0	1
错怪	g#犯错	3.0	1
误解	g#犯错	3.0	1
失职	g#犯错	3.0	1
犯规	g#犯错	2.0	1
违章	g#犯错	2.0	1
违规	g#犯错	3.0	1
明知故犯	g#犯错	3.0	1
放虎归山	h#留后患	3.0	1
养虎为患	h#留后患	4.0	1
冒险	i#冒险	2.0	1
探险	i#冒险	3.0	1
虎口拔牙	i#冒险	3.0	1
孤注一掷	i#冒险	4.0	1
选	a#挑选	1.0	1
挑	a#挑选	1.0	1
选择	a#挑选	2.0	1
拣	a#挑选	3.0	1
挑拣	a#挑选	3.0	1
挑选	a#挑选	3.0	1
挑肥拣瘦	a#挑选	3.0	1
挑三拣四	a#挑选	3.0	1
抉择	a#挑选	4.0	1
筛选	a#挑选	4.0	1
拈轻怕重	a#挑选	4.0	1
看中	a#挑选	2.0	1
百里挑一	a#挑选	2.0	1
优胜劣汰	a#挑选	3.0	1
取长补短	a#挑选	2.0	1
采集	b#收集	2.0	1
收集	b#收集	2.0	1
搜集	b#收集	3.0	1
集邮	b#收集	2.0	1
筹集	b#收集	4.0	1
募集	b#收集	4.0	1
募捐	b#收集	4.0	1
征集	b#收集	4.0	1
公费	c#出钱	3.0	1
自费	c#出钱	3.0	1
收藏	d#储存	2.0	1
储藏	d#储存	3.0	1
蕴藏	d#储存	3.0	1
珍藏	d#储存	3.0	1
贮藏	d#储存	4.0	1
储存	d#储存	2.0	1
储备	d#储存	3.0	1
存储	d#储存	3.0	1
保存	d#储存	2.0	1
保管	d#储存	3.0	1
存	d#储存	2.0	1
存款	d#储存	2.0	1
储蓄	d#储存	3.0	1
下载	d#储存	2.0	1
观察	e#观察	1.0	1
察看	e#观察	3.0	1
观测	e#观察	3.0	1
考察	e#观察	3.0	1
察言观色	e#观察	3.0	1
参观	e#观察	1.0	1
观摩	e#观察	3.0	1
围观	e#观察	2.0	1
比	f#对比	1.0	1
比较	f#对比	1.0	1
对比	f#对比	1.0	1
对照	f#对比	2.0	1
相比	f#对比	2.0	1
比拟	f#对比	3.0	1
分	g#判断	2.0	1
分别	g#判断	2.0	1
区别	g#判断	2.0	1
区分	g#判断	2.0	1
辨别	g#判断	3.0	1
辨认	g#判断	3.0	1
分辨	g#判断	3.0	1
鉴别	g#判断	3.0	1
识别	g#判断	3.0	1
定	g#判断	1.0	1
判断	g#判断	2.0	1
确定	g#判断	2.0	1
定位	g#判断	3.0	1
断定	g#判断	3.0	1
断言	g#判断	3.0	1
判定	g#判断	3.0	1
武断	g#判断	4.0	1
臆断	g#判断	4.0	1
盖棺论定	g#判断	4.0	1
假定	g#判断	3.0	1
假设	g#判断	3.0	1
用	h#使用	1.0	1
